sz,om,yr,mo,dy,date1,time,tz,st,stf,stn,f,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
1,63,1955,4,6,04/06/1955,02:30:00,3,TX,48,11,3,27,1,6,0,33.63,-96.6,33.58,-96.08,30.2,67,1,1,1,181,147,0,0
1,124,1955,4,23,04/23/1955,16:00:00,3,IA,19,6,3,0,0,4,0,40.72,-94.35,40.8,-94.32,5.4,440,1,1,1,159,0,0,0
2,144,1955,4,27,04/27/1955,19:00:00,3,MN,27,2,1,0,0,2,0,43.62,-95.6,0,0,0.1,10,1,1,1,105,0,0,0
0.75,314,1955,6,3,06/03/1955,18:30:00,3,OK,40,53,1,0,0,3,0,36.27,-99.92,0,0,0.1,10,1,1,1,45,0,0,0
2,429,1955,6,23,06/23/1955,14:00:00,3,SC,45,4,0,0,0,3,0,34.5,-82.67,0,0,0.2,23,1,1,1,7,0,0,0
3,464,1955,7,6,07/06/1955,15:30:00,3,MT,30,1,1,0,0,4,0,45.88,-108.3,0,0,2,50,1,1,1,111,0,0,0
0.75,70,1956,3,18,03/18/1956,14:30:00,3,NC,37,2,2,0,0,3,0,35.87,-78.8,0,0,0.3,100,1,1,1,183,0,0,0
2,80,1956,3,27,03/27/1956,19:20:00,3,OK,40,3,2,0,0,5,0,34.75,-95.05,0,0,1,500,1,1,1,79,0,0,0
2.5,85,1956,4,2,04/02/1956,18:45:00,3,KS,20,3,3,0,0,4,0,38.53,-98.55,38.58,-98.47,5.4,10,1,1,1,53,0,0,0
1,128,1956,4,5,04/05/1956,15:15:00,3,TX,48,9,3,0,0,5,0,30.68,-96.37,30.68,-96.28,5.2,67,1,1,1,41,0,0,0
2,134,1956,4,8,04/08/1956,22:15:00,3,OK,40,15,3,4,0,6,0,36.38,-97.9,36.4,-97.77,7.3,400,1,1,1,47,0,0,0
3,155,1956,4,28,04/28/1956,14:20:00,3,OK,40,20,1,0,0,2,0,34.97,-97.93,35.22,-97.38,35.4,10,1,1,1,51,87,27,0
3.75,156,1956,4,28,04/28/1956,16:00:00,3,OK,40,21,2,0,0,0,0,34.17,-97.85,0,0,0.1,10,1,1,1,67,0,0,0
1,196,1956,5,12,05/12/1956,17:55:00,3,MI,26,15,4,22,0,5,0,42.25,-83.22,42.22,-83.08,6.8,400,1,1,1,163,0,0,0
3,197,1956,5,12,05/12/1956,20:00:00,3,NE,31,5,1,0,0,4,0,41.33,-97.6,0,0,4,10,1,1,1,143,0,0,0
4,202,1956,5,13,05/13/1956,02:00:00,3,MI,26,17,0,0,0,0,0,43.25,-86.27,0,0,0.1,10,1,1,1,121,0,0,0
1.75,345,1956,7,11,07/11/1956,15:17:00,3,KS,20,39,0,0,0,3,0,39.4,-100.98,0,0,0.1,10,1,1,1,193,0,0,0
2.5,386,1956,7,20,07/20/1956,18:30:00,3,KS,20,45,3,0,0,5,0,38.18,-95.48,37.4,-94.68,69.5,880,1,1,1,3,1,37,0
0.75,412,1956,8,8,08/08/1956,15:30:00,3,CT,9,1,0,0,0,2,0,41.7,-72.5,0,0,0.1,50,1,1,1,13,0,0,0
1.75,415,1956,8,12,08/12/1956,13:00:00,3,GA,13,12,1,0,0,3,0,33.12,-83,33.13,-82.95,3.6,800,1,1,1,141,0,0,0
1.5,70,1957,4,2,04/02/1957,16:50:00,3,OK,40,6,2,1,0,4,0,34.55,-96.92,34.72,-96.95,11.7,400,1,1,1,99,49,0,0
1.5,71,1957,4,2,04/02/1957,16:55:00,3,OK,40,7,2,2,1,5,0,34.4,-97.13,0,0,2,600,1,1,1,99,0,0,0
2.5,85,1957,4,2,04/02/1957,21:05:00,3,OK,40,15,2,0,0,4,0,34.85,-95.57,34.97,-95.42,11.7,440,1,1,1,121,0,0,0
1,148,1957,4,8,04/08/1957,16:20:00,3,VA,51,2,1,2,0,5,0,36.93,-76.28,0,0,1,10,1,1,1,710,0,0,0
2,157,1957,4,18,04/18/1957,16:20:00,3,TX,48,45,3,0,0,3,0,33.7,-96.73,0,0,1,17,1,1,1,181,0,0,0
1,372,1957,5,20,05/20/1957,17:45:00,3,KS,20,31,1,0,0,2,0,38.23,-96,0,0,0.5,100,1,1,1,111,0,0,0
1.5,393,1957,5,21,05/21/1957,15:45:00,3,MO,29,18,3,50,8,7,0,37.77,-90.92,37.88,-90.52,22.2,400,1,1,1,221,187,0,0
2,438,1957,5,24,05/24/1957,14:45:00,3,TX,48,120,3,1,0,3,0,32.32,-101.87,0,0,1.5,83,1,1,1,317,0,0,0
1.75,471,1957,5,25,05/25/1957,18:15:00,3,TX,48,124,1,0,0,2,0,31.22,-98.38,0,0,0.5,50,1,1,1,281,0,0,0
1,473,1957,5,27,05/27/1957,07:20:00,3,VA,51,3,2,0,0,3,0,37.12,-78.83,37.22,-78.72,9.3,800,1,1,1,39,0,0,0
3,536,1957,6,12,06/12/1957,00:30:00,3,OK,40,90,0,0,0,1,0,36.8,-95.93,0,0,0.1,10,1,1,1,147,0,0,0
1.75,585,1957,6,19,06/19/1957,13:47:00,3,MA,25,2,1,0,0,4,0,42.4,-71.3,0,0,1,17,1,1,1,17,0,0,0
1.75,587,1957,6,19,06/19/1957,14:00:00,3,MA,25,3,1,0,0,2,0,42.5,-71.3,0,0,0.5,100,1,1,1,17,0,0,0
1.75,588,1957,6,19,06/19/1957,14:00:00,3,MA,25,4,1,0,0,4,0,42.5,-71.7,0,0,1.8,10,1,1,1,27,0,0,0
1,590,1957,6,20,06/20/1957,18:30:00,3,ND,38,6,0,0,0,0,0,46.7,-97,0,0,0.1,10,1,1,1,17,0,0,0
1,591,1957,6,20,06/20/1957,19:00:00,3,MN,27,7,5,0,0,5,0,46.88,-96.77,46.87,-96.23,25,400,2,1,2,27,0,0,0
2,676,1957,7,5,07/05/1957,19:00:00,3,MA,25,6,2,0,0,3,0,42.53,-71.75,0,0,0.5,20,1,1,1,27,0,0,0
1,698,1957,7,19,07/19/1957,17:30:00,3,NE,31,51,1,0,0,0,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1,697,1957,7,19,07/19/1957,17:30:00,3,NE,31,50,1,0,0,0,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1,696,1957,7,19,07/19/1957,17:30:00,3,NE,31,49,3,0,0,4,0,40.78,-98.07,40.98,-98.07,13.8,10,1,1,1,81,0,0,0
1.75,801,1957,11,18,11/18/1957,14:45:00,3,AL,1,32,1,1,0,4,0,33.4,-87.53,33.42,-87.48,3.3,10,1,1,1,125,0,0,0
0.75,823,1957,12,18,12/18/1957,13:50:00,3,MO,29,37,2,1,1,4,0,37.68,-90.35,37.7,-90.3,2.7,33,1,1,1,187,0,0,0
1.25,829,1957,12,18,12/18/1957,15:35:00,3,IL,17,26,3,1,0,5,0,38.08,-89.55,0,0,2.5,10,1,1,1,145,0,0,0
1.25,832,1957,12,18,12/18/1957,16:00:00,3,IL,17,29,2,0,0,4,0,37.9,-89.5,37.92,-89.4,5.4,10,1,1,1,77,0,0,0
1.25,833,1957,12,18,12/18/1957,16:15:00,3,IL,17,30,3,0,0,4,0,37.83,-89.75,37.87,-89.65,5.7,10,1,1,1,157,0,0,0
1.75,19,1958,2,26,02/26/1958,17:40:00,3,MS,28,2,3,34,1,6,0,31.97,-90.1,32.73,-89.3,71,60,1,1,1,127,121,123,79
2,53,1958,4,2,04/02/1958,17:55:00,3,TX,48,10,3,14,1,5,0,33.9,-98.5,33.95,-98.23,16.4,333,1,1,1,485,77,0,0
2.75,54,1958,4,2,04/02/1958,18:40:00,3,TX,48,11,3,1,0,4,0,33.65,-97.9,33.87,-97.72,18.2,300,1,1,1,337,0,0,0
3,55,1958,4,3,04/03/1958,12:15:00,3,AR,5,1,2,0,0,5,0,35.9,-92.6,0,0,0.1,10,1,1,1,129,0,0,0
2.75,96,1958,4,21,04/21/1958,16:05:00,3,OK,40,6,0,0,0,1,0,35.02,-97.93,0,0,0.1,10,1,1,1,51,0,0,0
0.75,108,1958,4,24,04/24/1958,17:15:00,3,WA,53,1,0,0,0,1,0,46.2,-118.6,0,0,45,17,1,1,1,71,0,0,0
1,209,1958,6,6,06/06/1958,16:30:00,3,KS,20,7,1,1,0,3,0,37.62,-99.1,37.7,-99.02,7.3,10,1,1,1,97,0,0,0
2.5,212,1958,6,7,06/07/1958,06:00:00,3,KS,20,8,3,1,0,4,0,37.65,-97.27,0,0,5,1760,1,1,1,173,0,0,0
4,230,1958,6,10,06/10/1958,17:45:00,3,KS,20,9,4,5,15,6,0,37.85,-97.02,37.83,-96.85,9,300,1,1,1,15,0,0,0
